,categories,published_year,average_rating,num_pages,ratings_count,tipo_avaliacao
295,30,2005,3.68,448,126.0,abaixo da média
296,36,2006,3.91,336,3676.0,acima da média
297,30,2006,3.98,259,12332.0,acima da média
298,30,2006,3.69,309,59613.0,abaixo da média
299,8,2007,4.04,370,86130.0,acima da média
300,30,2006,4.25,412,373135.0,acima da média
301,30,2006,3.78,416,10467.0,abaixo da média
302,30,2007,3.87,408,2744.0,abaixo da média
303,30,2006,3.89,400,2079.0,abaixo da média
304,30,2006,3.49,431,57257.0,abaixo da média
305,40,2006,3.54,288,19183.0,abaixo da média
306,41,2006,4.16,320,41.0,acima da média
307,40,2006,4.1,32,57.0,acima da média
308,30,2006,3.85,255,11872.0,abaixo da média
309,12,2006,3.31,128,159.0,abaixo da média
310,40,2007,4.18,198,193862.0,acima da média
311,40,2006,4.06,357,44132.0,acima da média
312,40,2007,4.14,422,66192.0,acima da média
313,40,2007,4.18,374,70683.0,acima da média
314,40,2007,3.88,126,27390.0,abaixo da média
315,30,2006,3.85,192,814.0,abaixo da média
316,8,2006,4.31,304,162.0,acima da média
317,30,2006,3.66,304,27412.0,abaixo da média
318,59,2006,4.03,344,20077.0,acima da média
319,30,2006,3.5,336,1930.0,abaixo da média
320,8,2007,4.06,312,168706.0,acima da média
321,56,1979,4.23,256,709.0,acima da média
322,30,1966,3.7,152,54061.0,abaixo da média
323,8,1988,3.91,255,7086.0,acima da média
324,45,1988,4.2,177,4046.0,acima da média
325,45,1988,4.22,76,3562.0,acima da média
326,58,1989,4.4,258,2288.0,acima da média
327,56,1990,4.06,255,7128.0,acima da média
328,30,1990,3.97,311,1380.0,acima da média
329,30,1990,4.0,229,1619.0,acima da média
330,36,1990,3.96,448,650.0,acima da média
331,45,1990,4.03,113,11177.0,acima da média
332,68,1990,3.83,299,43779.0,abaixo da média
333,30,1990,4.34,617,550.0,acima da média
334,49,1991,4.26,341,720.0,acima da média
335,30,1996,4.25,336,735.0,acima da média
336,36,1994,3.48,320,215.0,abaixo da média
337,30,1994,3.71,384,7102.0,abaixo da média
338,56,1994,4.0,288,4122.0,acima da média
339,36,1995,3.85,368,612.0,abaixo da média
340,54,1996,4.16,240,556.0,acima da média
341,30,1996,3.72,192,148.0,abaixo da média
342,44,1996,4.04,288,1247.0,acima da média
343,30,1996,3.76,256,912.0,abaixo da média
344,30,1997,3.66,156,9454.0,abaixo da média
345,46,2001,3.97,320,5282.0,acima da média
346,9,1999,4.16,288,1890.0,acima da média
347,30,1998,3.98,288,1173739.0,acima da média
348,30,1998,4.05,711,3922.0,acima da média
349,30,1999,3.62,256,749.0,abaixo da média
350,30,1999,3.96,547,1364.0,acima da média
351,30,1999,3.68,168,13065.0,abaixo da média
352,30,1999,4.05,546,5449.0,acima da média
353,30,1999,3.9,758,3489.0,abaixo da média
354,52,2000,3.39,320,836.0,abaixo da média
355,30,1999,3.7,152,2132.0,abaixo da média
356,8,2002,3.82,352,10159.0,abaixo da média
357,30,1999,3.75,374,1100.0,abaixo da média
358,30,1999,4.01,288,822.0,acima da média
359,30,1999,4.19,352,6132.0,acima da média
360,30,2002,3.31,400,57.0,abaixo da média
361,36,2002,3.98,338,2310.0,acima da média
362,45,2002,3.98,320,312.0,acima da média
363,8,2000,4.06,302,2428.0,acima da média
364,8,2005,3.97,528,184.0,acima da média
365,30,2005,3.72,304,756.0,abaixo da média
366,59,2002,3.88,352,66.0,abaixo da média
367,52,2002,3.75,368,2215.0,abaixo da média
368,25,2004,3.99,208,12.0,acima da média
369,30,2006,4.21,358,8663.0,acima da média
370,8,2000,3.8,336,302.0,abaixo da média
371,8,2000,4.05,508,2746.0,acima da média
372,30,2000,3.9,296,5559.0,abaixo da média
373,9,2005,4.45,261,622.0,acima da média
374,30,2005,3.78,400,1939.0,abaixo da média
375,52,2003,3.65,256,219.0,abaixo da média
376,42,2000,4.05,448,14293.0,acima da média
377,30,2001,4.0,444,85440.0,acima da média
378,30,1989,4.04,371,953.0,acima da média
379,66,1989,3.9,292,321.0,abaixo da média
380,30,1992,3.43,272,5.0,abaixo da média
381,36,1998,4.17,1392,3242.0,acima da média
382,22,1992,4.24,272,15021.0,acima da média
383,30,1992,4.13,640,1383.0,acima da média
384,30,1992,3.84,352,709.0,abaixo da média
385,30,1996,3.69,496,457.0,abaixo da média
386,30,1995,3.54,221,1463.0,abaixo da média
387,30,1995,3.59,192,566.0,abaixo da média
388,30,1994,3.62,352,366.0,abaixo da média
389,30,1995,4.16,129,2651.0,acima da média
390,30,1996,3.87,352,517.0,abaixo da média
391,30,1998,3.93,321,6549.0,acima da média
392,36,1999,3.93,416,332.0,acima da média
393,30,1999,3.61,288,15469.0,abaixo da média
394,8,1999,3.89,275,21524.0,abaixo da média
395,30,2000,3.52,372,53017.0,abaixo da média
396,8,2002,4.16,431,26377.0,acima da média
